NodeId,SpeakerName,PortraitKey,Text,NextId
13000,林顾念,Portrait_LinGuNian,"出门。只是出门而已。走到便利店，搬货，拿钱，回来。就这些。",13010
13010,旁白,,"走廊昏暗，日光灯管有一根不亮了。他低着头快步走过，下楼，走上灰扑扑的老城区街道。",
13100,旁白,,"一家拉下卷帘门的小商铺，门上贴着皱巴巴的告示：“旺铺转让，联系电话：138……”纸已泛黄，电话被雨水洇得模糊。",13110
13110,林顾念,Portrait_LinGuNian,"关了好一阵了……这条街的店一家接一家关。",
13200,旁白,,"锈迹斑斑的告示栏贴满小广告，中间一张物业通知：“关于本小区老旧供水设施更换工作的通知……已于2014年4月完成……”后面被一张招聘启事盖住。",13210
13210,林顾念,Portrait_LinGuNian,"……（他的目光在“供水设施更换”几个字上停了不到一秒，然后移开了。）",
13300,旁白,,"走到拐角时，远处突然传来一阵狗叫，尖锐而急促。",13310
13310,林顾念,Portrait_LinGuNian,"（他猛地缩了一下脖子。）",
13320,林顾念,Portrait_LinGuNian,"……（突如其来的尖锐声音让心跳骤然加速，步伐不自觉加快。应激度 +2）",
13400,便利店老板,Portrait_StoreOwner,"来了？今天货多，后面仓库堆了十几箱，你慢慢搬，别着急。",13410
13410,林顾念,Portrait_LinGuNian,"嗯。",13420
13420,便利店老板,Portrait_StoreOwner,"哎，你脸色怎么这么差？昨晚又没睡好？",
13430,便利店老板,Portrait_StoreOwner,"年轻人别熬夜……算了，你搬完我给你结钱，今天一百二。",13450
13440,便利店老板,Portrait_StoreOwner,"唉，年轻人别硬撑着。搬完我给你结钱，今天一百二。",13450
13450,旁白,,"（搬货任务：把货箱从仓库搬到货架指定位置。背景里收音机播着无关紧要的本地新闻——天气、老城区修缮。）",13460
13460,旁白,,"搬完最后一箱，后背的衣服已被汗浸透。老板递过一瓶矿泉水：“喝点水。钱我转你手机上了。”",13470
13470,便利店老板,Portrait_StoreOwner,"明天还来不来？",13480
13480,林顾念,Portrait_LinGuNian,"来。",13490
13490,便利店老板,Portrait_StoreOwner,"行，那明天见。",
