NodeId,SpeakerName,PortraitKey,Text,NextId
14000,旁白,,"医院住院部走廊。白色墙壁、绿色地砖、消毒水的气味。日光灯发出嗡嗡的低响。林顾念走得很慢，每一步都带着迟疑。",14010
14010,护士,,"307的家属？",14020
14020,林顾念,Portrait_LinGuNian,"嗯。",14030
14030,护士,,"你妈今天精神还行，中午吃了大半碗粥。就是血压还是偏高，药别断。",14040
14040,林顾念,Portrait_LinGuNian,"知道了，谢谢。",14050
14050,护士,,"你自己也注意休息。",14060
14060,旁白,,"他没回答，低着头继续走。推开307病房的门——窗帘半拉着，阳光照在白色床单上，苍白而安静。",14070
14070,林母,Portrait_LinMu,"顾念来了。吃饭没有？",14080
14080,林顾念,Portrait_LinGuNian,"吃了。您呢？护士说您今天吃了粥。",14090
14090,林母,Portrait_LinMu,"嗯，喝了点。没什么胃口，但护士说得吃，我就吃了。",14100
14100,旁白,,"（沉默。林顾念从塑料袋里拿出一个苹果，低头削皮。果皮一圈一圈垂下来，没有断。他的注意力全在这个动作上，像是在逃避什么。）",14110
14110,林母,Portrait_LinMu,"瘦了。眼圈也黑。你是不是又没睡好？",14120
14120,林顾念,Portrait_LinGuNian,"还行。最近打工有点累。",14130
14130,林母,Portrait_LinMu,"别太拼了……妈这病没什么大事，养养就好。你别为了我的药费把自己累坏了。",14140
14140,林顾念,Portrait_LinGuNian,"没有。您别操心，好好养着就行。",14150
14150,林母,Portrait_LinMu,"你爸前两天打了个电话来。",14160
14160,旁白,,"（林顾念削苹果的手顿了一下。只顿了一下，然后继续削。）",14170
14170,林顾念,Portrait_LinGuNian,"说什么了？",14180
14180,林母,Portrait_LinMu,"也没说什么……问了问我的病。他问你……最近怎么样。",
14190,林母,Portrait_LinMu,"顾念……",14210
14200,林母,Portrait_LinMu,"顾念……",14210
14210,旁白,,"林顾念放下削皮刀，抬头看了母亲一眼，扯了扯嘴角。",14220
14220,林顾念,Portrait_LinGuNian,"真挺好的，妈。您别多想。",14230
14230,林母,Portrait_LinMu,"你忙你的去吧，别在这儿耗着。年轻人有年轻人的事。",14240
14240,林顾念,Portrait_LinGuNian,"我再坐一会儿。",14250
14250,林母,Portrait_LinMu,"坐什么坐，我又不是小孩。快走吧，天黑前回去，路上注意安全。",14260
14260,旁白,,"他站起来，把塑料袋里剩下的水果和一盒牛奶放在床头柜上。",14270
14270,林顾念,Portrait_LinGuNian,"那我走了。药按时吃，别省着。",14280
14280,林母,Portrait_LinMu,"知道了知道了，比你妈还啰嗦。",14290
14290,旁白,,"他走到门口，手搭在门把手上，背对着母亲停了一秒。",14300
14300,林母,Portrait_LinMu,"顾念……你要是有什么不开心的事，跟妈说。妈虽然帮不上什么忙，但听你说说也好。",14310
14310,林顾念,Portrait_LinGuNian,"没什么不开心的。您好好休息。",14320
14320,旁白,,"推门出去。他在走廊里站住，背靠着墙，仰头看着嗡嗡作响的日光灯，站了很久。",14330
14330,林顾念,Portrait_LinGuNian,"药费下个月又该交了……搬货一天一百二，洗碗一天八十……不够。远远不够。",14340
14340,林顾念,Portrait_LinGuNian,"……不想这些了。先回去。",
