NodeId,SpeakerName,PortraitKey,Text,NextId
11000,旁白,,"灰蒙蒙的光透过薄窗帘渗进来，像一层洗不干净的脏纱。",11010
11010,旁白,,"房间轮廓从黑暗中缓慢浮现——单人床、书桌、衣柜、厨房角落。床单皱成一团，枕头被汗浸出一片深色。",11020
11020,林顾念,Portrait_LinGuNian,"（天花板上有一道细长的裂纹，从灯座蔓延到墙角。）又是这样……浑身像被人揍了一顿。",11030
11030,旁白,,"他下床走向洗漱台，拧开水龙头。冷水激在脸上，他抬头看向镜子——",11040
11040,旁白,,"镜中的脸苍白得没有血色，眼下两团深黑的阴影像淤青。（点击镜子可观察自己。）",
11100,林顾念,Portrait_LinGuNian,"额头左侧太阳穴附近有一处指甲盖大小的淤青，发黄发绿。什么时候磕的？……不记得了。",11110
11110,林顾念,Portrait_LinGuNian,"可能是睡觉翻身撞到床沿了吧。该吃点东西了。",
11200,旁白,,"冰箱内几乎空了。上层一个保鲜膜包好的搪瓷碗，碗底压着一张便签：“顾念，韭菜猪肉馅的，热一热再吃。——老张”",11210
11210,林顾念,Portrait_LinGuNian,"老张头的饺子……馅儿总放太多盐，但吃着暖。",
11220,林顾念,Portrait_LinGuNian,"咸了……但是热的。胃里总算有点东西了。（应激度 -3）",
11230,林顾念,Portrait_LinGuNian,"不饿……算了。",
11300,林顾念,Portrait_LinGuNian,"以前在看的小说……看到哪儿了来着？",11310
11310,旁白,,"他拿起书翻了几页，目光在字行上滑过，但很明显没有读进去。",
11320,林顾念,Portrait_LinGuNian,"看不进去。脑子里乱糟糟的。（应激度 -1）",
11330,林顾念,Portrait_LinGuNian,"……算了。",
11340,旁白,,"抽屉里是些零碎——几支笔、一卷胶带、一本记事本、一些零钱。指尖无意间触到内侧边缘一处微妙的凸起——像夹层的边缘。",11350
11350,林顾念,Portrait_LinGuNian,"……？",11360
11360,林顾念,Portrait_LinGuNian,"……没什么。（此处暂不可深入交互。）",
11400,旁白,,"床头柜上一盒皱巴巴的香烟，只剩三四根，旁边一个廉价塑料打火机。",11410
11410,林顾念,Portrait_LinGuNian,"他盯着那盒烟。",
11420,林顾念,Portrait_LinGuNian,"（深吸一口，缓缓吐出。）……好一点了。就一点。（应激度 -4）",
11430,林顾念,Portrait_LinGuNian,"……还是算了。",
11500,旁白,,"翻盖手机屏幕亮起，一条未读短信。发件人：老张——“昨天看你回来脸色很差，这两天别太累了。冰箱里还有饺子，记得吃。”",11510
11510,林顾念,Portrait_LinGuNian,"老张头总是这样……比我爸妈操的心都多。",11520
11520,旁白,,"收件箱第二条（已读）。发件人：陆医生——“顾念，这一周不用刻意逼自己做什么，顺其自然就好。晚安。”",11530
11530,林顾念,Portrait_LinGuNian,"……嗯。（他盯着这条短信看了几秒，拇指停在屏幕上没有动，然后合上了手机。）",
