NodeId,SpeakerName,PortraitKey,Text,NextId
21000,旁白,,"光线是错位的——既不像白天，也不像夜晚。仿佛有一束光被人扭弯了，从墙的某个夹缝里漏进来。",21010
21010,旁白,,"房间的轮廓还在，但每一样东西都比记忆里旧得多。墙纸像浸了水，地板缝里长出了细小的发丝。",21020
21020,林顾念,Portrait_LinGuNian,"（又是这里。）",21030
21030,林顾念,Portrait_LinGuNian,"……这里是哪里，我又一次说不上来。",
21100,旁白,,"冰箱比记忆中的样子要旧。门把手生了一层薄锈，门缝里漏出比月光更冷的光。",21110
21110,林顾念,Portrait_LinGuNian,"（这台冰箱……不该是这个样子的。）",21120
21120,旁白,,"他拉开了门。里面是空的。除了最底层，压着一张已经发黄的照片。",21130
21130,林顾念,Portrait_LinGuNian,"……这是我四岁那年。母亲穿着那件她最喜欢的浅蓝色衬衫。",21140
21140,林顾念,Portrait_LinGuNian,"（我以为我早就把它忘了。）",21150
21150,旁白,,"他想起以前在某本书上读过的一句话。",21160
21160,林顾念,Portrait_LinGuNian,"「未被表达的情绪永远不会消失。它们只是被活埋了，有一天，会以更丑陋的方式涌出。」",21170
21170,林顾念,Portrait_LinGuNian,"——是弗洛伊德吧。我大概是从他的书里读到的。",21180
21180,旁白,,"他把照片轻轻放回原位，合上了冰箱门。冷光也跟着熄灭。",21190
21190,林顾念,Portrait_LinGuNian,"（也许有些东西，我还没准备好真正去看。）（应激度 -5）",
21200,旁白,,"沙发是熟悉的形状。但当他坐下去时，比记忆中柔软得多——像陷进了一团温柔的雾。",21210
21210,林顾念,Portrait_LinGuNian,"（这里很安静……连脑子里那些喊叫的声音，都变慢了。）",21220
21220,旁白,,"他闭上眼。耳边浮起一个声音，是他自己的——又不完全像他自己的。",21230
21230,?,Portrait_LinGuNian,"……你已经累很久了。",21240
21240,林顾念,Portrait_LinGuNian,"我知道。",21250
21250,?,Portrait_LinGuNian,"那为什么不让自己停下来？",21260
21260,林顾念,Portrait_LinGuNian,"……如果我停下来，可能就再也起不来了。",21270
21270,?,Portrait_LinGuNian,"「直到你让潜意识浮上意识，它都将主宰你的人生——而你将称之为命运。」",21280
21280,林顾念,Portrait_LinGuNian,"……荣格。",21290
21290,?,Portrait_LinGuNian,"是你自己说的。",21300
21300,旁白,,"他睁开眼。沙发还是那张沙发。但他坐得更深了一点。",21310
21310,林顾念,Portrait_LinGuNian,"（也许，是时候醒来了。）（应激度 -8）",
